veiculo_id,ordem_na_rota,entrega_id,hospital_id,hospital_nome,prioridade,peso_kg,tempo_entrega_min,lat,lng
V1,1,61,61,UUBS 5 Santa Maria,ALTA,61.17,10,-16.0103369,-48.0024363
V1,2,62,62,UBS 8 Santa Maria,ALTA,62.59,20,-16.0144018,-47.9910585
V1,3,28,28,UBS 01 Santa Maria,BAIXA,46.41,20,-16.027209,-48.027008
V1,4,29,29,UBS 02 Santa Maria,CRITICA,86.69,10,-16.0079432,-47.9904955
V1,5,75,75,UPA Recanto das Emas,MEDIA,33.68,45,-15.9117854,-48.0600112
V1,6,76,76,UPA Samambaia,BAIXA,58.26,45,-15.8831351,-48.102718
V1,7,26,26,UBS 06 Taguatinga Sul,CRITICA,78.11,60,-15.8362722,-48.0642048
V1,8,27,27,UBS 07 Taguatinga Norte,ALTA,36.45,60,-15.8009132,-48.0946952
V1,9,93,93,Hospital Veterinário de Brasília (HVEP),CRITICA,69.66,20,-15.8169079,-48.073732
V1,10,23,23,UBS 02 Taguatinga Norte,CRITICA,27.39,60,-15.8104012,-48.0635838
V1,11,22,22,UBS 01 Taguatinga Norte,MEDIA,92.38,10,-15.7955812,-48.0672329
V2,1,21,21,Hospital Naval de Brasília,BAIXA,74.87,15,-15.8147858,-47.9150437
V2,2,16,16,Hospital da Criança de Brasília (HCB),MEDIA,71.7,60,-15.7584695,-47.9199696
V2,3,94,94,Centro de Saúde 01 Asa Sul,MEDIA,73.57,60,-15.8319916,-47.9107407
V2,4,95,95,Hospital Dia,ALTA,80.54,60,-15.8142352,-47.9093607
V2,5,78,78,UPA São Sebastião,ALTA,65.99,20,-15.9009588,-47.7801697
V2,6,79,79,UPA Núcleo Bandeirante,ALTA,88.68,60,-15.8759336,-47.9847267
V2,7,42,42,UBS 02 Riacho Fundo I,ALTA,35.81,30,-15.8793864,-48.0036153
V2,8,98,98,Centro de Atenção Psicossocial CAPS I Brazlândia,BAIXA,50.99,15,-15.6722857,-48.2083374
V2,9,43,43,UBS 01 Riacho Fundo II,MEDIA,43.25,20,-15.9093234,-48.0607011
V2,10,37,37,UBS 02 Cruzeiro,MEDIA,89.45,20,-15.783503,-47.9385418
V3,1,36,36,UBS 01 Cruzeiro,ALTA,95.41,20,-15.797046,-47.934145
